batch_id,road_level,weather,time,info,select4test,first,
20241114_101032_n000004,城区道路,阴天,白天,城区道路,1,,
20241114_101032_n000005,城区道路,阴天,白天,城区道路,1,,
20241114_101032_n000006,城区道路,雨天,白天,刚开始下雨，曹安公路,1,,
20241114_101032_n000007,城区道路,雨天,白天,刚开始下雨，曹安公路,1,,
20241114_101032_n000008,城区道路,雨天,白天,雨停，雨刮器关，曹安公路,1,,
20241114_105051_n000001,其他,雨天,白天,雨很小，雨刮器开，嘉闵高架,0,,
20241114_105051_n000002,高速/快速路,雨天,白天,雨开始加大,1,,
20241114_105051_n000003,高速/快速路,雨天,白天,雨变小，雨刮器开，嘉闵高架,1,,
20241114_105051_n000004,高速/快速路,雨天,白天,前鱼眼有雨珠，雨刮器开，嘉闵高架,1,,
20241114_105051_n000005,高速/快速路,雨天,白天,前鱼眼有雨珠，雨刮器开，嘉闵高架,1,,
20241114_105051_n000006,其他,,,,0,,
20241114_105051_n000007,高速/快速路,雨天,白天,雨变小，雨刮器关，嘉闵高架,1,,
20241114_105051_n000008,高速/快速路,阴天,白天,雨停，雨刮器关，嘉闵高架,1,,
20241114_113237_n000001,城区道路,阴天,白天,长时间堵车,0,,
20241114_113237_n000002,城区道路,阴天,白天,博园路,1,,
20241114_113237_n000003,城区道路,阴天,白天,博园路,1,,
20241114_113237_n000004,城区道路,阴天,白天,博园路,1,,
20241114_113237_n000005,城区道路,阴天,白天,博园路绿化带，树林,0,,
20241114_113237_n000006,其他,阴天,白天,废弃,0,,
20241114_113237_n000007,其他,,,废弃,0,,
20241114_113237_n000008,其他,,,废弃,0,,
20241114_113237_n000009,其他,,,废弃,0,,
20241114_113237_n000010,其他,,,废弃,0,,
20241114_113237_n000011,其他,,,废弃,0,,
20241114_113237_n000012,其他,,,废弃,0,,
20241114_113237_n000013,其他,,,废弃,0,,
20241114_113237_n000014,其他,,,废弃,0,,
20241114_113237_n000015,其他,,,废弃,0,,
20241114_113237_n000016,城区道路,阴天,白天,曹安公路,1,,
20241114_113237_n000017,城区道路,阴天,白天,曹安公路,1,,
20241114_113237_n000018,城区道路,阴天,白天,曹安公路，部分堵车,1,,
20241114_113237_n000019,城区道路,阴天,白天,曹安公路，部分堵车，中途有司机下车,1,,
20241114_113237_n000020,城区道路,阴天,白天,曹安公路，有特种车辆,1,,
20241114_113237_n000021,城区道路,阴天,白天,曹安公路，部分堵车,1,,
20241114_113237_n000022,城区道路,阴天,白天,曹安公路，部分堵车 ,1,,
20241114_113237_n000023,城区道路,阴天,白天,曹安公路，部分堵车2min，,1,,
20241114_113237_n000024,城区道路,雨天,白天,曹安公路，部分堵车3min+，雨刮开，绿化带有工人,1,,
20241114_113237_n000025,城区道路,雨天,白天,曹安公路，雨刮开，前鱼眼有雨珠,1,,
20241114_113237_n000026,城区道路,雨天,白天,曹安公路，雨刮开，前鱼眼有雨珠,1,,
20241114_113237_n000027,城区道路,雨天,白天,曹安公路，部分堵车，左侧水泥隔离装(灰色+黄黑条色),1,,
20241114_113237_n000028,城区道路,阴天,白天,曹安公路，部分堵车 ,1,,
20241114_113237_n000029,城区道路,阴天,白天,曹安公路，主路上车辆少,1,,
20241114_113237_n000030,城区道路,阴天,白天,曹安公路，部分堵车2min，红绿灯十字路口第一位等候,1,,
20241114_113237_n000031,城区道路,阴天,白天,曹安公路，部分堵车2min，红绿灯十字路口第一位等候,1,,
20241114_113237_n000032,城区道路,阴天,白天,曹安公路，上桥下桥，部分于田路,1,,
20241114_113237_n000033,城区道路,阴天,白天,2车道，1min40s后水泥路，右转去墨玉路,1,,
20241114_113237_n000034,城区道路,阴天,白天,墨玉路，转弯进南安路,1,,
20241114_113237_n000035,其他,阴天,白天,进入园区停车场停车充电,0,,
20241114_150248_n000001,其他,阴天,白天,出园区停车场,0,,
20241114_153305_n000001,城区道路,雨天,白天,博园路,0,,
20241114_153305_n000002,城区道路,雨天,白天,外青松公路，进隧道(可能影响RTK)，通过检查站,0,,
20241114_153305_n000003,城区道路,雨天,白天,外青松公路，部分立交桥下，堵车,1,,
20241114_153305_n000004,城区道路,雨天,白天,外青松公路，上下桥，过安检站，十字路口第一位，前鱼眼有雨珠,1,,
20241114_153305_n000005,城区道路,雨天,白天,外青松公路，基本全程堵车,1,,
20241114_153305_n000006,城区道路,雨天,白天,外青松公路，雨刮器打开,1,,
20241114_153305_n000007,城区道路,雨天,白天,外青松公路，掉头，路边停车,0,,
20241114_153305_n000008,城区道路,雨天,白天,外青松公路，路边停车,0,,
20241114_153305_n000009,乡村道路,雨天,白天,乡村道路，双向两车道，过低矮桥洞，单车道,1,,
20241114_153305_n000010,城区道路,雨天,白天,立交桥下，车辆少,1,,
20241114_153305_n000011,城区道路,雨天,白天,立交桥下，车辆少，开始部分路段有绿色围栏,1,,
20241114_153305_n000012,城区道路,雨天,白天,红绿灯堵车3min，开始部分路段有绿色围栏,1,,
20241114_153305_n000013,城区道路,雨天,白天,前视有雨珠,1,,
20241114_153305_n000014,城区道路,雨天,白天,,1,,
20241114_153305_n000015,城区道路,雨天,白天,十字路口第一位等待,1,,
20241114_153305_n000016,,,,废弃，类似博园路，绿化带遮挡,0,,
20241114_153305_n000017,城区道路,雨天,白天,上下桥，曹安公路，部分堵车,1,,
20241114_153305_n000018,城区道路,雨天,黄昏,曹安公路，大部分堵车，路灯亮,1,,
20241114_153305_n000019,城区道路,雨天,黄昏,废弃,0,,
20241114_173503_n000001,城区道路,雨天,夜晚,废弃,0,,
20241114_175658_n000001,城区道路,雨天,夜晚,废弃,0,,
20241114_175658_n000002,城区道路,雨天,夜晚,堵车,1,,
20241114_175658_n000003,城区道路,雨天,夜晚,墨玉路，曹安公路，新源路,1,,
20241114_175658_n000004,城区道路,雨天,夜晚,新源路，十字路口红绿灯第一位等候，穿过桥洞,1,,
20241114_181827_n000001,高速/快速路,雨天,夜晚,通过收费站，短匝道，无路灯,1,,
20241114_181827_n000002,高速/快速路,雨天,夜晚,无路灯，货车多，高速堵车,1,,
20241114_181827_n000003,高速/快速路,雨天,夜晚,无路灯，货车多，高速堵车,1,,
20241114_181827_n000004,高速/快速路,雨天,夜晚,无路灯，货车多，高速堵车,1,,
20241114_181827_n000005,高速/快速路,雨天,夜晚,无路灯，货车多,1,,
20241114_184722_n000001,高速/快速路,雨天,夜晚,雨刮器关，有路灯,1,,
20241114_184722_n000002,高速/快速路,雨天,夜晚,雨刮器关，有路灯，匝道汇入,1,,
20241114_184722_n000003,高速/快速路,雨天,夜晚,雨刮器开，有路灯，上匝道，匝道汇入,1,,
20241114_184722_n000004,高速/快速路,雨天,夜晚,雨刮器关，有路灯，三车道,1,,
20241114_184722_n000005,高速/快速路,雨天,夜晚,雨刮器关，有路灯，前视有雨珠,1,,
20241114_184722_n000006,高速/快速路,雨天,夜晚,雨刮器关，有路灯，有事故造成拥堵,1,,
20241114_184722_n000007,高速/快速路,雨天,夜晚,雨刮器关，有路灯，整体车流速度慢,1,,
20241114_184722_n000008,高速/快速路,雨天,夜晚,雨刮器关，有路灯，整体车流速度慢，部分拥堵,1,,
20241114_192905_n000001,城区道路,雨天,夜晚,雨刮器开，有路灯，后30s进入内部道路,1,,
20241114_192905_n000002,其他,雨天,夜晚,废弃，园区道路,0,,
20241114_192905_n000003,其他,雨天,夜晚,废弃，园区道路,0,,
20241114_192905_n000004,其他,雨天,夜晚,废弃,0,,
20241114_194813_n000001,高速/快速路,雨天,夜晚,匝道汇入堵车,1,,
20241114_194813_n000002,高速/快速路,雨天,夜晚,雨刮器开，部分路段有路灯,1,,
20241114_194813_n000003,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，过徐浦大桥,1,,
20241114_194813_n000004,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，过徐浦大桥,1,,
20241114_194813_n000005,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，外环高速,1,,
20241114_194813_n000006,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，外环高速,1,,
20241114_194813_n000007,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，外环高速,1,,
20241114_194813_n000008,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，外环高速,1,,
20241114_194813_n000009,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，外环高速,1,,
20241114_194813_n000010,高速/快速路,雨天,夜晚,"外环高速,长时间在隧道内，",0,,
20241114_194813_n000011,高速/快速路,雨天,夜晚,雨刮器开，有路灯，前鱼眼有雨珠，外环高速,1,,
20241114_204241_n000001,高速/快速路,雨天,夜晚,无路灯，雨刮器开，前鱼眼有雨珠，外环高速，通过高速收费站,1,,
20241114_204241_n000002,高速/快速路,雨天,夜晚,目标物体少，无路灯，雨刮器开，前鱼眼有雨珠，后视有雨珠，外环高速,1,,
20241114_204241_n000003,高速/快速路,雨天,夜晚,无路灯，雨刮器开，前鱼眼有雨珠，后视远光叠加雨珠，外环高速,1,,
20241114_204241_n000004,高速/快速路,雨天,夜晚,废弃，无路灯，雨刮器开，前鱼眼有雨珠，后视远光叠加雨珠，外环高速，结尾20s进服务区，总时长短,0,,
20241114_211524_n000001,高速/快速路,雨天,夜晚,服务区匝道并入，雨刮器开，前鱼眼有雨珠，后视远光叠加雨珠，外环高速,1,,
20241114_211524_n000002,高速/快速路,雨天,夜晚,部分路段有路灯，外环高速，前鱼眼有雨珠,1,,
20241114_211524_n000003,高速/快速路,雨天,夜晚,废弃，时间短,0,,
20241114_212919_n000001,高速/快速路,雨天,夜晚,嘉闵高架，有路灯，前鱼眼有雨珠,1,,
20241114_212919_n000002,高速/快速路,雨天,夜晚,嘉闵高架，有路灯，前鱼眼有雨珠,1,,
20241114_212919_n000003,高速/快速路,雨天,夜晚,嘉闵高架，有路灯,1,,
20241114_212919_n000004,高速/快速路,雨天,夜晚,嘉闵高架，有路灯,1,,
20241114_212919_n000005,其他,雨天,夜晚,废弃，时间短,0,,
20241114_215210_n000001,高速/快速路,雨天,夜晚,京沪高速，无路灯,1,,
20241114_215210_n000002,高速/快速路,雨天,夜晚,京沪高速，无路灯,1,,
20241114_220350_n000001,城区道路,雨天,夜晚,废弃,0,,
20241114_223616_n000001,城区道路,雨天,夜晚,雨刮器开，南安路，墨玉路，曹安公路，有路灯,1,,
20241114_223616_n000002,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯,1,,
20241114_223616_n000003,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯,1,,
20241114_223616_n000004,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯,1,,
20241114_223616_n000005,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯，掉头,1,,
20241114_223616_n000006,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯,1,,
20241114_223616_n000007,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯，等红绿灯,1,,
20241114_223616_n000008,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯，等红绿灯,1,,
20241114_223616_n000009,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯，等红绿灯,1,,
20241114_223616_n000010,城区道路,雨天,夜晚,雨刮器开，曹安公路，前鱼眼有雨珠，有路灯，等红绿灯,1,,
20241114_223616_n000011,其他,雨天,夜晚,废弃,0,,
20241112_073957_n000001,,,,园区内，停车,0,,
20241112_073957_n000002,,,,园区内，停车,0,,
20241112_073957_n000003,城区道路,晴天,白天,城区道路,1,1,
20241112_073957_n000004,城区道路,晴天,白天,,1,1,
20241112_073957_n000005,城区道路,晴天,白天,上下桥两次，中途通过安检站,1,,1
20241112_073957_n000006,城区道路,晴天,白天,,1,1,
20241112_073957_n000007,城区道路,晴天,白天,,1,1,
20241112_073957_n000008,乡村道路,晴天,白天,,0,,
20241112_073957_n000009,乡村道路,晴天,白天,后2min不在立交桥下行驶,0,,
20241112_073957_n000010,城区道路,晴天,白天,立交桥下行驶,1,1,
20241112_073957_n000011,城区道路,晴天,白天,立交桥下行驶,1,,1
20241112_073957_n000012,城区道路,晴天,白天,,1,,1
20241112_073957_n000013,城区道路,晴天,白天,,1,,1
20241112_073957_n000014,城区道路,晴天,白天,下桥 堵车严重,0,,
20241112_073957_n000015,城区道路,晴天,白天,部分堵车,1,,1
20241112_073957_n000016,城区道路,晴天,白天,,1,,1
20241112_073957_n000017,城区道路,晴天,白天,左侧绿化带,0,,
20241112_073957_n000018,城区道路,晴天,白天,曹安公路,1,,1
20241112_073957_n000019,城区道路,晴天,白天,曹安公路,1,,1
20241112_073957_n000020,城区道路,晴天,白天,结尾停车下车了,0,,
20241112_073957_n000021,城区道路,晴天,白天,停车下车了,0,,
20241112_104050_n000001,,,白天,,0,,
20241112_105222_n000001,,,白天,,0,,
20241112_110349_n000001,高速/快速路,晴天,白天,限制道路、锥桶+正常高速/快速路+限制道路(1车道),1,1,
20241112_130846_n000001,,,白天,,0,,
20241112_130846_n000002,,,白天,博园路,0,,
20241112_130846_n000003,城区道路,晴天,白天,曹安公路,1,,1
20241112_130846_n000004,城区道路,晴天,白天,,1,,1
20241112_130846_n000005,城区道路,晴天,白天,,1,,1
20241112_130846_n000006,城区道路,晴天,白天,,1,,1
20241112_130846_n000007,城区道路,晴天,白天,,1,,1
20241112_130846_n000008,城区道路,晴天,白天,水泥隔离桩,1,,1
20241112_130846_n000009,城区道路,晴天,白天,十字路口等候,1,,1
20241112_135817_n000001,城区道路,晴天,白天,,1,,1
20241112_155844_n000001,,,白天,园区内i,0,,
20241112_155844_n000002,城区道路,晴天,白天,墨玉路,1,,1
20241112_155844_n000003,城区道路,晴天,白天,宝安公路,1,,1
20241112_155844_n000004,城区道路,晴天,白天,,1,,1
20241112_155844_n000005,城区道路,晴天,白天,穿过立交下,1,,1
20241112_155844_n000006,城区道路,晴天,白天,经过施工路段,1,,1
20241112_155844_n000007,,,,曹安公路+于田南路+博园路,0,,
20241112_155844_n000008,,,,,0,,
20241112_163856_n000001,高速/快速路,晴天,白天,匝道多，去绕城高速，部分车开车灯,1,1,
20241112_163856_n000002,高速/快速路,晴天,白天,绕城高速，部分车开车灯,1,1,
20241112_163856_n000003,高速/快速路,晴天,白天,有车辆运输车,1,1,
20241112_163856_n000004,高速/快速路,晴天,白天,货车多,1,1,
20241112_163856_n000005,高速/快速路,晴天,黄昏,结尾出高速收费站90s,0,,
20241112_163856_n000006,高速/快速路,晴天,黄昏,开始出高速收费站90s，中途进入收费站,0,,
20241112_163856_n000007,高速/快速路,晴天,黄昏,车辆开始开日行车灯,1,,1
20241112_163856_n000008,高速/快速路,晴天,黄昏,车辆开始开日行车灯,1,,1
20241112_163856_n000009,高速/快速路,晴天,夜晚,车灯路灯均开启,1,1,
20241112_163856_n000010,高速/快速路,晴天,夜晚,,1,1,
20241112_163856_n000011,高速/快速路,晴天,夜晚,少于120s，夜晚高速下匝道,0,,
20241112_173051_n000001,城区道路,晴天,夜晚,部分园区道路,1,,
20241112_181710_n000001,,,,园区停车,0,,
20241112_181710_n000002,城区道路,晴天,夜晚,安智路,1,1,
20241112_181710_n000003,城区道路,晴天,夜晚,时间短,0,,
20241112_183055_n000001,乡村道路,晴天,夜晚,,0,,
20241112_183458_n000001,城区道路,晴天,夜晚,类似博园路,0,,
20241112_183458_n000002,城区道路,晴天,夜晚,时间短,0,,
20241112_184215_n000001,乡村道路,晴天,夜晚,,0,,
20241112_184215_n000002,乡村道路,晴天,夜晚,,0,,
20241112_184215_n000003,乡村道路,晴天,夜晚,,0,,
20241112_184215_n000004,乡村道路,晴天,夜晚,,0,,
20241112_184215_n000005,乡村道路,晴天,夜晚,,0,,
20241112_184215_n000006,乡村道路,晴天,夜晚,,,,
20241112_184215_n000007,乡村道路,晴天,夜晚,,,,
20241112_184215_n000008,乡村道路,晴天,夜晚,,,,
20241112_184215_n000009,乡村道路,晴天,夜晚,,,,
20241112_184215_n000010,乡村道路,晴天,夜晚,,,,
20241112_184215_n000011,乡村道路,晴天,夜晚,停车等候,0,,
20241112_184215_n000012,乡村道路,晴天,夜晚,停车等候,0,,
20241112_184215_n000013,乡村道路,晴天,夜晚,停车等候,0,,
20241112_184215_n000014,乡村道路,晴天,夜晚,停车等候,0,,
20241112_184215_n000015,乡村道路,晴天,夜晚,停车等候,0,,
20241112_184215_n000016,乡村道路,晴天,夜晚,停车等候,0,,
20241112_184215_n000017,乡村道路,晴天,夜晚,时间短,0,,
20241112_200502_n000001,乡村道路,晴天,夜晚,,0,,
20241112_200502_n000002,城区道路,晴天,夜晚,,0,,
20241112_200502_n000003,乡村道路,晴天,夜晚,倒车,0,,
20241112_200502_n000004,乡村道路,晴天,夜晚,倒车,0,,
20241112_200502_n000005,,,,停车等候,0,,
20241112_203250_n000001,,,,停车等候,0,,
20241112_203250_n000002,,,,停车等候,,,
20241112_203250_n000003,,,,停车等候,,,
20241112_203250_n000004,,,,停车等候,,,
20241112_203250_n000005,,,,停车等候,,,
20241112_203250_n000006,,,,停车等候,,,
20241112_210159_n000001,,,,停车等候,,,
20241112_210159_n000002,其他,晴天,夜晚,立交桥下行驶，混合道路行驶,0,,
20241112_211119_n000001,高速/快速路,晴天,夜晚,,1,1,
20241112_211119_n000002,高速/快速路,晴天,夜晚,,1,1,
20241112_211119_n000003,高速/快速路,晴天,夜晚,,1,1,
20241112_211119_n000004,高速/快速路,晴天,夜晚,,1,,1
20241112_211119_n000005,高速/快速路,晴天,夜晚,结尾下匝道,1,,1
20241112_213642_n000001,其他,晴天,夜晚,,0,,
20241112_213642_n000002,高速/快速路,晴天,夜晚,,1,,1
20241112_213642_n000003,高速/快速路,晴天,夜晚,,1,,1
20241112_213642_n000004,高速/快速路,晴天,夜晚,,1,,1
20241112_213642_n000005,高速/快速路,晴天,夜晚,,1,,1
20241112_213642_n000006,高速/快速路,晴天,夜晚,,1,,1
20241112_213642_n000007,其他,晴天,夜晚,,0,,
20241112_220907_n000001,城区道路,晴天,夜晚,,1,1,
20241112_220907_n000002,城区道路,晴天,夜晚,,1,1,
20241112_220907_n000003,城区道路,晴天,夜晚,,1,1,
20241112_220907_n000004,城区道路,晴天,夜晚,,1,1,
20241112_220907_n000005,城区道路,晴天,夜晚,,1,,1
20241112_220907_n000006,城区道路,晴天,夜晚,,1,,1
20241112_220907_n000007,城区道路,晴天,夜晚,,1,,1
20241112_220907_n000008,城区道路,晴天,夜晚,,1,,1
20241112_220907_n000009,城区道路,晴天,夜晚,,1,,1
20241112_220907_n000010,城区道路,晴天,夜晚,,1,,1
20241112_220907_n000011,,,,停车等候,0,,
20241111_093841_n000001,城区道路,晴天,白天,园区+博园路,0,,
20241111_093841_n000002,城区道路,晴天,白天,,1,,
20241111_093841_n000003,城区道路,晴天,白天,,1,,
20241111_093841_n000004,城区道路,晴天,白天,,1,,
20241111_093841_n000005,城区道路,晴天,白天,类似博园路,0,,
20241111_093841_n000006,城区道路,晴天,白天,,1,,
20241111_093841_n000007,城区道路,晴天,白天,,1,,
20241111_093841_n000008,城区道路,晴天,白天,部分时间段堵车,1,,
20241111_093841_n000009,城区道路,晴天,白天,,1,,
20241111_093841_n000010,城区道路,晴天,白天,,1,,
20241111_093841_n000011,城区道路,晴天,白天,,1,,
20241111_093841_n000012,城区道路,晴天,白天,,1,,
20241111_093841_n000013,城区道路,晴天,白天,,1,,
20241111_093841_n000014,城区道路,晴天,白天,,1,,
20241111_093841_n000015,城区道路,晴天,白天,,1,,
20241111_093841_n000016,城区道路,晴天,白天,,1,,
20241111_093841_n000017,城区道路,晴天,白天,,0,,
20241111_093841_n000018,城区道路,晴天,白天,,1,,
20241111_093841_n000019,城区道路,晴天,白天,less120s,0,,
20241111_125838_n000001,其他,晴天,白天,,0,,
20241111_125838_n000002,城区道路,晴天,白天,博园路,0,,
20241111_125838_n000003,城区道路,晴天,白天,博园路,0,,
20241111_125838_n000004,城区道路,晴天,白天,,1,,
20241111_125838_n000005,城区道路,晴天,白天,,1,,
20241111_125838_n000006,城区道路,晴天,白天,,1,,
20241111_125838_n000007,其他,晴天,白天,????,0,,
20241111_125838_n000008,高速/快速路,晴天,白天,开始15s在匝道,1,,
20241111_125838_n000009,高速/快速路,晴天,白天,,1,,
20241111_125838_n000010,高速/快速路,晴天,白天,,1,,
20241111_125838_n000011,高速/快速路,晴天,白天,,1,,
20241111_125838_n000012,高速/快速路,晴天,白天,中途有上下匝道,1,,
20241111_125838_n000013,高速/快速路,晴天,白天,,1,,
20241111_125838_n000014,高速/快速路,晴天,白天,,1,,
20241111_125838_n000015,高速/快速路,晴天,白天,有些堵车，车流速慢,1,,
20241111_125838_n000016,高速/快速路,晴天,白天,,1,,
20241111_125838_n000017,其他,晴天,白天,有下匝道全程，部分时段立交桥下,1,,
20241111_125838_n000018,城区道路,晴天,白天,全程在立交桥下,1,,
20241111_144655_n000001,城区道路,晴天,白天,,1,,
20241111_154522_n000001,其他,晴天,白天,,0,,
20241111_154522_n000002,城区道路,晴天,白天,园区+博园路,0,,
20241111_155436_n000001,高速/快速路,晴天,白天,通过收费站，开始上匝道,1,,
20241111_155436_n000002,高速/快速路,晴天,白天,,1,,
20241111_155436_n000003,高速/快速路,晴天,白天,最后45s通过收费站,1,,
20241111_155436_n000004,高速/快速路,晴天,白天,开始2min通过收费站,1,,
20241111_155436_n000005,高速/快速路,晴天,白天,开始3min匝道,1,,
20241111_155436_n000006,高速/快速路,晴天,白天,,1,,
20241111_155436_n000007,高速/快速路,晴天,白天,,1,,
20241111_155436_n000008,高速/快速路,晴天,白天,,1,,
20241111_155436_n000009,高速/快速路,晴天,白天,,1,,
20241111_155436_n000010,高速/快速路,晴天,白天,车流速慢，略微堵车,1,,
20241111_155436_n000011,高速/快速路,晴天,白天,车流速慢，略微堵车,1,,
20241111_155436_n000012,其他,晴天,白天,,0,,
20241111_155436_n000013,城区道路,晴天,白天,,1,,
20241111_155436_n000014,其他,晴天,白天,高速路下匝道,1,,
20241111_155436_n000015,高速/快速路,晴天,白天,黄昏、路灯亮,1,,
20241111_155436_n000016,高速/快速路,晴天,白天,黄昏、路灯亮,1,,
20241111_155436_n000017,高速/快速路,晴天,白天,黄昏、路灯亮，视作白天,1,,
20241111_155436_n000018,高速/快速路,晴天,夜晚,夜晚、路灯亮,1,,
20241111_155436_n000019,其他,晴天,夜晚,夜晚、路灯亮、上匝道,1,,
20241111_155436_n000020,高速/快速路,晴天,夜晚,夜晚、路灯亮,1,,
20241111_155436_n000021,高速/快速路,晴天,夜晚,夜晚、路灯亮,1,,
20241111_155436_n000022,高速/快速路,晴天,夜晚,夜晚、路灯亮,1,,
20241111_155436_n000023,高速/快速路,晴天,夜晚,夜晚、路灯亮、堵车严重,1,,
20241111_155436_n000024,其他,晴天,夜晚,过收费站,0,,
20241111_155436_n000025,高速/快速路,晴天,夜晚,隧道,1,,
20241111_155436_n000026,高速/快速路,晴天,夜晚,夜晚、部分路段无路灯,1,,
20241111_155436_n000027,高速/快速路,晴天,夜晚,夜晚、部分路段无路灯,1,,
20241111_155436_n000028,高速/快速路,晴天,夜晚,匝道4min,1,,
20241111_155436_n000029,其他,晴天,夜晚,通过收费站，停车等候,0,,
20241111_155436_n000030,高速/快速路,晴天,夜晚,夜晚、路灯亮,1,,
20241111_155436_n000031,高速/快速路,晴天,夜晚,夜晚、路灯亮,1,,
20241111_155436_n000032,高速/快速路,晴天,夜晚,夜晚、路灯亮，包含上匝道路段，结尾通过收费站,1,,
20241111_155436_n000033,高速/快速路,晴天,夜晚,夜晚、路灯亮，包含上匝道路段，开始25s通过收费站,1,,
20241111_155436_n000034,高速/快速路,晴天,夜晚,夜晚、部分路段无路灯，部分路段有灯,1,,
20241111_155436_n000035,其他,晴天,夜晚,,0,,
20241111_155436_n000036,,晴天,夜晚,,0,,
20241111_192515_n000001,,晴天,夜晚,,0,,
20241111_192515_n000002,城区道路,晴天,夜晚,,1,,
20241111_192515_n000003,城区道路,晴天,夜晚,,1,,
20241111_192515_n000004,城区道路,晴天,夜晚,,1,,
20241111_192515_n000005,城区道路,晴天,夜晚,,1,,
20241111_192515_n000006,城区道路,晴天,夜晚,,0,,
20241111_192515_n000007,城区道路,晴天,夜晚,,1,,
20241111_192515_n000008,城区道路,晴天,夜晚,,0,,
20241111_192515_n000009,城区道路,晴天,夜晚,,1,,
20241111_192515_n000010,,晴天,夜晚,,0,,
20241111_192515_n000011,,晴天,夜晚,,0,,
20241111_192515_n000012,,晴天,夜晚,,0,,
20241111_192515_n000013,城区道路,晴天,夜晚,夜晚，目标物少，有路灯,1,,
20241111_192515_n000014,城区道路,晴天,夜晚,夜晚，目标物少，有路灯,1,,
20241111_192515_n000015,城区道路,晴天,夜晚,夜晚，有路灯,1,,
20241111_192515_n000016,城区道路,晴天,夜晚,夜晚，有路灯，十字路口等候久,1,,
20241111_192515_n000017,城区道路,晴天,夜晚,夜晚，有路灯，,1,,
20241111_192515_n000018,城区道路,晴天,夜晚,等候,0,,
20241111_192515_n000019,城区道路,晴天,夜晚,等候,0,,
20241111_192515_n000020,城区道路,晴天,夜晚,等候,0,,
20241111_192515_n000021,城区道路,晴天,夜晚,夜晚有路灯,1,,
20241111_192515_n000022,城区道路,晴天,夜晚,夜晚有路灯,1,,
20241111_192515_n000023,城区道路,晴天,夜晚,夜晚有路灯,1,,
20241111_192515_n000024,城区道路,晴天,夜晚,夜晚有路灯，目标无少,1,,
20241111_192515_n000025,城区道路,晴天,夜晚,夜晚有路灯，目标无少,1,,
20241111_192515_n000026,城区道路,晴天,夜晚,夜晚有路灯,1,,
20241111_192515_n000027,城区道路,晴天,夜晚,夜晚有路灯，目标无少,1,,
20241111_192515_n000028,城区道路,晴天,夜晚,夜晚有路灯，目标无少,1,,
20241111_192515_n000029,城区道路,晴天,夜晚,夜晚有路灯，目标无少,1,,
20241111_192515_n000030,城区道路,晴天,夜晚,夜晚有路灯，,1,,
20241111_192515_n000031,城区道路,晴天,夜晚,夜晚有路灯，,1,,
20241111_192515_n000032,其他,晴天,夜晚,"上匝道,less120s",0,,
20241111_220141_n000001,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000002,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000003,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000004,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000005,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000006,其他,晴天,夜晚,有上下匝道全程,0,,
20241111_220141_n000007,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000008,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000009,高速/快速路,晴天,夜晚,夜晚，有路灯,1,,
20241111_220141_n000010,,晴天,夜晚,"less120, 下匝道",0,,
20241111_224739_n000001,城区道路,晴天,夜晚,夜晚，有路灯，目标物体少,1,,
20241111_224739_n000002,城区道路,晴天,夜晚,夜晚，有路灯，目标物体少,1,,
20241111_224739_n000003,城区道路,晴天,夜晚,夜晚，有路灯，目标物体少,1,,
